,Dynamics,delta,loss,pval
4,PD,0.7000000000000001,0.17262201011180878,0.27
5,PD,0.7000000000000001,0.1803375482559204,0.22
6,PD,0.7000000000000001,0.1548650562763214,0.34
7,PD,0.7000000000000001,0.147732213139534,0.28
8,PD,0.7000000000000001,0.1462993323802948,0.37
9,PD,0.7000000000000001,0.1363489329814911,0.37
0,PD,0.8,0.16846254467964172,0.25
1,PD,0.8,0.14510102570056915,0.27
2,PD,0.8,0.13694439828395844,0.25
3,PD,0.8,0.2519235610961914,0.12
4,PD,0.8,0.24014170467853546,0.06
5,PD,0.8,0.11900100111961365,0.29
6,PD,0.8,0.17802540957927704,0.1
7,PD,0.8,0.1374620944261551,0.27
8,PD,0.8,0.21310122311115265,0.09
9,PD,0.8,0.1376742720603943,0.34
0,PD,0.9,0.2630927562713623,0.02
1,PD,0.9,0.23881985247135162,0.02
2,PD,0.9,0.2773025333881378,0.02
3,PD,0.9,0.18931959569454193,0.18
4,PD,0.9,0.24177463352680206,0.07
5,PD,0.9,0.26092615723609924,0.13
6,PD,0.9,0.18950068950653076,0.04
7,PD,0.9,0.2502385675907135,0.11
8,PD,0.9,0.22900038957595825,0.2
9,PD,0.9,0.18668220937252045,0.16
0,PD,1.0,0.3119046688079834,0.04
1,PD,1.0,0.23461252450942993,0.07
2,PD,1.0,0.2528964877128601,0.05
3,PD,1.0,0.2566355764865875,0.05
4,PD,1.0,0.23615336418151855,0.07
5,PD,1.0,0.32949987053871155,0.0
6,PD,1.0,0.23369444906711578,0.17
7,PD,1.0,0.20779016613960266,0.15
8,PD,1.0,0.31075310707092285,0.0
9,PD,1.0,0.26084885001182556,0.1
0,SIS,0.0,0.010202765464782715,0.97
1,SIS,0.0,0.014943107031285763,0.94
2,SIS,0.0,0.012054994702339172,0.92
3,SIS,0.0,0.01693626120686531,0.89
4,SIS,0.0,0.009227023459970951,0.9
5,SIS,0.0,0.011456248350441456,0.9
6,SIS,0.0,0.010187914595007896,0.91
7,SIS,0.0,0.011967958882451057,0.95
8,SIS,0.0,0.014139564707875252,0.94
9,SIS,0.0,0.007955660112202168,0.97
0,SIS,0.1,0.011052628979086876,0.98
1,SIS,0.1,0.014509428292512894,0.95
2,SIS,0.1,0.011900507844984531,0.94
3,SIS,0.1,0.016766173765063286,0.95
4,SIS,0.1,0.012129333801567554,0.93
5,SIS,0.1,0.016443463042378426,0.91
6,SIS,0.1,0.014232547022402287,0.95
7,SIS,0.1,0.018007146194577217,0.95
8,SIS,0.1,0.019338157027959824,0.93
9,SIS,0.1,0.020160634070634842,0.93
0,SIS,0.2,0.02504354901611805,0.89
1,SIS,0.2,0.012836136855185032,0.9
2,SIS,0.2,0.029258599504828453,0.79
3,SIS,0.2,0.021189551800489426,0.86
4,SIS,0.2,0.008557938039302826,0.92
5,SIS,0.2,0.017018120735883713,0.86
6,SIS,0.2,0.012739019468426704,0.9
7,SIS,0.2,0.021409310400485992,0.9
8,SIS,0.2,0.01930304616689682,0.91
9,SIS,0.2,0.01567145809531212,0.88
0,SIS,0.30000000000000004,0.019647814333438873,0.94
1,SIS,0.30000000000000004,0.02208682894706726,0.9
2,SIS,0.30000000000000004,0.027904879301786423,0.93
3,SIS,0.30000000000000004,0.035966094583272934,0.85
4,SIS,0.30000000000000004,0.023736823350191116,0.82
5,SIS,0.30000000000000004,0.01016203686594963,0.93
6,SIS,0.30000000000000004,0.025954153388738632,0.91
7,SIS,0.30000000000000004,0.024529794231057167,0.81
8,SIS,0.30000000000000004,0.02366180531680584,0.9
9,SIS,0.30000000000000004,0.041948821395635605,0.89
0,SIS,0.4,0.02068970911204815,0.85
1,SIS,0.4,0.046003181487321854,0.79
2,SIS,0.4,0.021538205444812775,0.86
3,SIS,0.4,0.02327445149421692,0.89
4,SIS,0.4,0.01858583278954029,0.85
5,SIS,0.4,0.008912594988942146,0.95
6,SIS,0.4,0.04015312343835831,0.85
7,SIS,0.4,0.037024661898612976,0.87
8,SIS,0.4,0.030653346329927444,0.85
9,SIS,0.4,0.02152683027088642,0.91
0,SIS,0.5,0.03129892796278,0.87
1,SIS,0.5,0.032145023345947266,0.89
2,SIS,0.5,0.021514587104320526,0.87
3,SIS,0.5,0.05696700140833855,0.84
4,SIS,0.5,0.025502536445856094,0.93
5,SIS,0.5,0.04294561967253685,0.87
