,Dynamics,delta,loss,pval
4,Diffusion,5,0.000895935227163136,1.0
5,Diffusion,5,0.0007910808199085295,1.0
6,Diffusion,5,0.0011798798805102706,0.98
7,Diffusion,5,0.0005949570913799107,1.0
8,Diffusion,5,0.0005671809776686132,1.0
9,Diffusion,5,0.001295455265790224,1.0
0,MAK,1,0.0035838191397488117,0.86
1,MAK,1,0.004016901832073927,0.92
2,MAK,1,0.004193201661109924,0.86
3,MAK,1,0.004536286927759647,0.94
4,MAK,1,0.005468758754432201,0.82
5,MAK,1,0.003681745147332549,0.94
6,MAK,1,0.011743822135031223,0.76
7,MAK,1,0.0033366212155669928,0.95
8,MAK,1,0.004099986050277948,0.95
9,MAK,1,0.006667585577815771,0.85
0,MAK,2,0.002768539823591709,0.93
1,MAK,2,0.003368939505890012,0.99
2,MAK,2,0.0020338448230177164,0.98
3,MAK,2,0.002604089444503188,0.98
4,MAK,2,0.0023050489835441113,1.0
5,MAK,2,0.002318905433639884,0.93
6,MAK,2,0.003086123848333955,0.96
7,MAK,2,0.0022326696198433638,0.98
8,MAK,2,0.0024809972383081913,1.0
9,MAK,2,0.0022548541892319918,0.99
0,MAK,3,0.0019691779743880033,0.99
1,MAK,3,0.0031723002903163433,0.99
2,MAK,3,0.0019120328361168504,0.97
3,MAK,3,0.003524434519931674,0.98
4,MAK,3,0.002472037449479103,0.99
5,MAK,3,0.00231422227807343,0.96
6,MAK,3,0.0016821398166939616,1.0
7,MAK,3,0.0037587436381727457,0.93
8,MAK,3,0.002635307377204299,0.98
9,MAK,3,0.004259549546986818,1.0
0,MAK,4,0.0021685371175408363,0.95
1,MAK,4,0.0017822973895817995,0.94
2,MAK,4,0.001974839484319091,0.97
3,MAK,4,0.00264315796084702,0.99
4,MAK,4,0.00406799279153347,1.0
5,MAK,4,0.0037266009021550417,0.95
6,MAK,4,0.001539544085972011,0.98
7,MAK,4,0.0018451845971867442,0.96
8,MAK,4,0.0036764289252460003,0.96
9,MAK,4,0.001150652882643044,0.97
0,MAK,5,0.003663246054202318,0.96
1,MAK,5,0.0030080629512667656,0.99
2,MAK,5,0.0018868460319936275,0.98
3,MAK,5,0.00231853942386806,0.96
4,MAK,5,0.0024632227141410112,0.99
5,MAK,5,0.004284122493118048,0.97
6,MAK,5,0.0014594683889299631,0.99
7,MAK,5,0.002315032761543989,1.0
