,Dynamics,delta,loss,pval
2,MAK,0.8,0.05960545316338539,0.43
3,MAK,0.8,0.044517576694488525,0.73
4,MAK,0.8,0.047699328511953354,0.71
5,MAK,0.8,0.05810396373271942,0.5
6,MAK,0.8,0.050847332924604416,0.64
7,MAK,0.8,0.05448642000555992,0.63
8,MAK,0.8,0.04656801000237465,0.38
9,MAK,0.8,0.04886144772171974,0.64
0,MAK,0.9,0.08621354401111603,0.54
1,MAK,0.9,0.055120985954999924,0.5
2,MAK,0.9,0.054229043424129486,0.72
3,MAK,0.9,0.06569069623947144,0.4
4,MAK,0.9,0.06877952069044113,0.59
5,MAK,0.9,0.06742625683546066,0.39
6,MAK,0.9,0.05889606848359108,0.35
7,MAK,0.9,0.07966096699237823,0.46
8,MAK,0.9,0.07029151916503906,0.37
9,MAK,0.9,0.06074102222919464,0.44
0,MAK,1.0,0.08572979271411896,0.47
1,MAK,1.0,0.0827881470322609,0.26
2,MAK,1.0,0.08557701110839844,0.8
3,MAK,1.0,0.1294737160205841,0.26
4,MAK,1.0,0.10873501747846603,0.17
5,MAK,1.0,0.11369072645902634,0.28
6,MAK,1.0,0.08054893463850021,0.58
7,MAK,1.0,0.0659874826669693,0.65
8,MAK,1.0,0.09003180265426636,0.8
9,MAK,1.0,0.07008451968431473,0.52
0,MM,0.0,0.018573520705103874,0.97
1,MM,0.0,0.01421112846583128,0.94
2,MM,0.0,0.016734600067138672,0.96
3,MM,0.0,0.014529318548738956,0.95
4,MM,0.0,0.019957898184657097,0.94
5,MM,0.0,0.015057900920510292,0.95
6,MM,0.0,0.020367499440908432,0.99
7,MM,0.0,0.01870754547417164,0.94
8,MM,0.0,0.01381358876824379,0.94
9,MM,0.0,0.01889670640230179,0.98
0,MM,0.1,0.02140357345342636,0.94
1,MM,0.1,0.028758900240063667,0.95
2,MM,0.1,0.022225307300686836,0.92
3,MM,0.1,0.03483996540307999,0.89
4,MM,0.1,0.025425873696804047,0.97
5,MM,0.1,0.021104274317622185,0.98
6,MM,0.1,0.022474035620689392,0.93
7,MM,0.1,0.03670511767268181,0.93
8,MM,0.1,0.022346248850226402,0.95
9,MM,0.1,0.017310798168182373,0.94
0,MM,0.2,0.03461824730038643,0.92
1,MM,0.2,0.027106206864118576,0.94
2,MM,0.2,0.026049355044960976,0.96
3,MM,0.2,0.03853482007980347,0.91
4,MM,0.2,0.03437456116080284,0.9
5,MM,0.2,0.04570756107568741,0.91
6,MM,0.2,0.024680104106664658,0.94
7,MM,0.2,0.019790908321738243,0.99
8,MM,0.2,0.02786095254123211,0.92
9,MM,0.2,0.030779404565691948,0.98
0,MM,0.30000000000000004,0.02668650448322296,0.89
1,MM,0.30000000000000004,0.03929721936583519,0.9
2,MM,0.30000000000000004,0.02193019911646843,0.99
3,MM,0.30000000000000004,0.0401214174926281,0.93
4,MM,0.30000000000000004,0.03831411153078079,0.84
5,MM,0.30000000000000004,0.03497470170259476,0.9
6,MM,0.30000000000000004,0.02424817532300949,0.93
7,MM,0.30000000000000004,0.024610579013824463,0.89
8,MM,0.30000000000000004,0.03379414975643158,0.92
9,MM,0.30000000000000004,0.04498323053121567,0.91
0,MM,0.4,0.044249098747968674,0.92
1,MM,0.4,0.06016512215137482,0.94
2,MM,0.4,0.031401537358760834,0.91
3,MM,0.4,0.06101390719413757,0.89
4,MM,0.4,0.04250389337539673,0.87
5,MM,0.4,0.044463131576776505,0.86
6,MM,0.4,0.036738071590662,0.94
7,MM,0.4,0.03995141759514809,0.85
8,MM,0.4,0.043976590037345886,0.9
9,MM,0.4,0.036461956799030304,0.95
0,MM,0.5,0.04084281995892525,0.84
1,MM,0.5,0.049101561307907104,0.86
2,MM,0.5,0.06327246874570847,0.86
3,MM,0.5,0.06506483256816864,0.85
4,MM,0.5,0.04120959714055061,0.86
5,MM,0.5,0.04010191187262535,0.85
6,MM,0.5,0.053797218948602676,0.93
7,MM,0.5,0.0663839653134346,0.91
8,MM,0.5,0.04380397871136665,0.89
9,MM,0.5,0.047561828047037125,0.91
0,MM,0.6000000000000001,0.020418062806129456,0.9
1,MM,0.6000000000000001,0.07454650849103928,0.85
2,MM,0.6000000000000001,0.0599086619913578,0.85
3,MM,0.6000000000000001,0.036081328988075256,0.9
4,MM,0.6000000000000001,0.050408005714416504,0.88
5,MM,0.6000000000000001,0.046413179486989975,0.89
6,MM,0.6000000000000001,0.051316555589437485,0.92
7,MM,0.6000000000000001,0.06648329645395279,0.86
8,MM,0.6000000000000001,0.0916651040315628,0.87
9,MM,0.6000000000000001,0.04137017950415611,0.83
0,MM,0.7000000000000001,0.08209738880395889,0.8
1,MM,0.7000000000000001,0.062095075845718384,0.87
2,MM,0.7000000000000001,0.07347908616065979,0.79
3,MM,0.7000000000000001,0.05484987795352936,0.88
4,MM,0.7000000000000001,0.07621775567531586,0.83
5,MM,0.7000000000000001,0.07086440920829773,0.82
6,MM,0.7000000000000001,0.05428912490606308,0.86
7,MM,0.7000000000000001,0.054664310067892075,0.88
8,MM,0.7000000000000001,0.049104880541563034,0.87
9,MM,0.7000000000000001,0.04088243097066879,0.86
0,MM,0.8,0.06814491003751755,0.91
1,MM,0.8,0.07794662564992905,0.91
2,MM,0.8,0.12399160116910934,0.87
3,MM,0.8,0.05902465805411339,0.85
4,MM,0.8,0.07905161380767822,0.9
5,MM,0.8,0.11984781920909882,0.83
6,MM,0.8,0.04900331050157547,0.87
7,MM,0.8,0.07232345640659332,0.84
8,MM,0.8,0.0617302767932415,0.82
9,MM,0.8,0.09111443907022476,0.77
